,trial,start_time,end_time,key,reaction_time
0,buidels_audio,3.2618534000066575,4.55362970000715,y,1.2917763000004925
1,hese_audio,5.095040300002438,6.5543792999960715,m,1.4593389999936335
2,imams_audio,7.073041099996772,8.24121350000496,m,1.1681724000081886
3,polders_audio,8.75509590000729,9.705910300006508,m,0.9508143999992171
4,ponten_audio,10.22000929999922,11.122579500006395,m,0.902570200007176
5,puien_audio,11.635135999997146,12.616977500001667,y,0.9818415000045206
6,rafel_audio,13.134796300000744,14.32932659999642,y,1.1945302999956766
7,ratels_audio,14.847807800004375,16.239429299996118,y,1.391621499991743
8,reigers_audio,16.788222200004384,17.982797999997274,y,1.19457579999289
9,sikkels_audio,18.49420509999618,19.6395310999942,y,1.1453259999980219
10,stekken_audio,20.15841360000195,21.8483203999931,m,1.6899067999911495
11,barse_audio,22.37701680000464,23.643344600001,y,1.2663277999963611
12,gevels_audio,24.153515800004243,25.386838299993542,y,1.233322499989299
13,juffen_audio,25.901455500003067,26.947655299998587,y,1.0461997999955202
14,karpers_audio,27.468639099999564,28.57115079999494,y,1.1025116999953752
15,snert_audio,29.081789200005005,30.27475250000134,y,1.192963299996336
16,clusters_audio,30.796785099999397,32.04175839999516,y,1.2449732999957632
17,deun_audio,32.56038670000271,33.683031599997776,m,1.1226448999950662
18,etui_audio,34.19152579999354,35.2588390000019,m,1.067313200008357
19,schoffels_audio,35.773582399997395,36.76118529999803,y,0.9876029000006383
20,schuiten_audio,37.28055310000491,38.34479970000393,y,1.0642465999990236
21,spurt_audio,38.86442490000627,40.08773179999844,y,1.223306899992167
22,strotten_audio,40.60116210000706,41.77774849999696,y,1.176586399989901
23,wrongel_audio,42.308291099994676,43.791726900002686,m,1.4834358000080101
24,ambten_audio,44.313437200005865,45.50069800000347,y,1.1872607999976026
25,beitels_audio,46.0115414000029,47.475480699999025,y,1.4639392999961274
26,flans_audio,47.99345369999355,49.41140909999376,m,1.41795540000021
27,klavier_audio,49.92415780000738,50.87618520000251,m,0.9520273999951314
28,lanen_audio,51.38824050000403,52.74495500000194,y,1.3567144999979064
29,oker_audio,53.253185399997164,54.29942209999717,m,1.0462367000000086
30,porde_audio,54.81778660000418,56.087958400006755,y,1.2701718000025721
31,suste_audio,56.5990587999986,57.61835049999354,m,1.0192916999949375
32,woei_audio,58.132127200005925,58.93723589999718,y,0.8051086999912513
33,gonsde_audio,59.44639339999412,61.28775509999832,y,1.8413617000041995
34,margriet_audio,61.82021619999432,63.71541129999969,y,1.8951951000053668
35,metrum_audio,64.22515569999814,65.2931310999993,m,1.0679754000011599
36,rogge_audio,65.80516170000192,66.71838190000562,m,0.9132202000037069
37,sfinxen_audio,67.23729790000652,68.214413099995,m,0.9771151999884751
38,sjalot_audio,68.7364985000022,69.69479940000747,m,0.9583009000052698
39,topaas_audio,70.21748770000704,71.62109739999869,m,1.403609699991648
40,zolders_audio,72.13139359999332,73.29054610000458,y,1.1591525000112597
41,lome_audio,73.81442500000412,74.87721550000424,m,1.0627905000001192
42,stengels_audio,75.3955588999961,76.53215879999334,m,1.1365998999972362
43,stram_audio,77.04254110000329,78.16393140000582,m,1.1213903000025311
44,grief_audio,78.67299940000521,79.64214379999612,y,0.9691443999909097
45,lijsters_audio,80.15682309999829,81.6245246000035,y,1.4677015000052052
46,venkel_audio,82.1380921999953,83.39180470000429,y,1.2537125000089873
47,balkons_audio,83.90175869999803,85.0792827999976,y,1.177524099999573
48,bonkte_audio,85.59992459999921,86.83069679999608,y,1.2307721999968635
49,gisten_audio,87.3483128999942,89.03602850000607,y,1.6877156000118703
50,plan_audio,89.54539189999923,91.28149550000671,y,1.7361036000074819
51,hield_audio,91.79301389999455,93.06460919999518,y,1.2715953000006266
