,trial,start_time,end_time,key,reaction_time
0,scissors_text,3.51190090000091,7.117996799999673,m,3.6060958999987633
1,cricket_text,7.640685200000007,8.35882589999892,m,0.7181406999989122
2,snake_image,8.88894319999963,9.615734200000588,m,0.7267910000009579
3,motorcycle_text,10.137813199999073,10.586032200000773,m,0.4482190000016999
4,whistle_text,11.119748699999036,11.52445810000063,m,0.40470940000159317
5,gun_text,12.05180240000118,12.343224100000953,m,0.2914216999997734
6,chicken_text,12.867497200000798,13.098355499998434,m,0.23085829999763519
7,bird_image,13.633443200000329,13.882984399999259,m,0.2495411999989301
8,dog_image,14.41589649999878,14.602308900000935,m,0.18641240000215475
9,rooster_image,15.132283499999176,15.426977899998747,m,0.29469439999957103
10,hammer_image,15.963829500000429,16.22188559999995,m,0.2580560999995214
11,cow_text,16.74659690000044,17.58860199999981,m,0.8420050999993691
12,frog_image,18.11118759999954,19.288041600000724,y,1.1768540000011853
13,duck_image,19.80931580000106,20.019362600000022,y,0.21004679999896325
14,baby_image,20.542290599998523,20.96374089999881,m,0.4214503000002878
15,bell_image,21.49105950000012,21.6013669999993,m,0.11030749999918044
16,chicken_image,22.123430700001336,22.307050700001128,m,0.18361999999979162
17,bell_text,22.83904220000113,23.0359638000009,m,0.19692159999976866
18,snake_text,23.5721057999981,23.70933579999837,m,0.1372300000002724
19,rooster_text,24.23816960000113,24.37496380000084,m,0.13679419999971287
20,sheep_text,24.903869400000985,25.199628999998822,m,0.29575959999783663
21,car_text,25.735791700000846,26.04692100000102,y,0.31112930000017514
22,owl_text,26.568151899999066,26.73603269999876,y,0.1678807999996934
23,sheep_image,27.267892799998663,27.313306799998827,m,0.04541400000016438
24,keyboard_image,27.86745560000054,27.891261900000245,m,0.023806299999705516
25,hammer_text,28.416117199998553,28.43145799999911,m,0.015340800000558374
26,owl_image,28.96581850000075,29.4552059000016,m,0.4893874000008509
27,gun_image,29.981192300001567,30.042806099998415,m,0.061613799996848684
28,goat_image,30.563630699998612,30.670423600000504,m,0.10679290000189212
29,clock_image,31.196302799999103,31.513832799999363,m,0.31753000000026077
30,bird_text,32.04546649999975,32.35569739999846,m,0.31023089999871445
31,frog_text,32.877607700000226,33.174632099999144,m,0.29702439999891794
32,car_image,33.71013419999872,34.05771580000146,m,0.34758160000274074
33,train_text,34.592611200001556,34.891835999998875,m,0.29922479999731877
34,keyboard_text,35.42465820000143,35.4476848000013,m,0.02302659999986645
35,cat_text,35.974081399999704,35.977746799999295,m,0.0036653999995905906
36,train_image,36.508062599998084,36.581421499999124,y,0.07335890000103973
37,cat_image,37.10584960000051,37.29639640000096,m,0.19054680000044755
38,baby_text,37.82185670000035,37.95833480000147,m,0.1364781000011135
39,cricket_image,38.48867020000034,38.490605300001334,y,0.0019351000009919517
40,duck_text,39.02065539999967,39.185826500000985,y,0.16517110000131652
41,scissors_image,39.71997049999845,39.87316160000046,m,0.15319110000200453
42,dog_text,40.40195429999949,40.614419599998655,m,0.21246529999916675
43,cow_image,41.166660999999294,41.347645900001226,m,0.18098490000193124
44,goat_text,41.88367859999926,42.140481099999306,m,0.2568025000000489
45,clock_text,42.66634999999951,42.74234720000095,m,0.07599720000143861
46,whistle_image,43.26558749999822,43.614988400000584,m,0.34940090000236523
47,motorcycle_image,44.14829219999956,44.176843799999915,y,0.028551600000355393
