,trial,start_time,end_time,key,reaction_time
0,plin_audio,3.251688300006208,4.132348800005275,y,0.8806604999990668
1,woei_audio,4.648716300012893,5.3571533000067575,y,0.7084369999938644
2,groeken_audio,5.880995500003337,6.861495400007698,y,0.9804999000043608
3,stodeum_audio,7.378737400009413,8.469469300005585,y,1.0907318999961717
4,ogen_audio,8.982938700006343,9.77722580000409,m,0.7942870999977458
5,women_audio,10.294016300002113,11.255432100006146,y,0.9614158000040334
6,labber_audio,11.800369300006423,12.592626600002404,y,0.7922572999959812
7,grief_audio,13.105753600000753,14.025320700005977,y,0.9195671000052243
8,bezans_audio,14.543143700007931,15.560262500002864,y,1.0171187999949325
9,hese_audio,16.06848240000545,17.092172100004973,m,1.0236896999995224
10,sikkels_audio,17.600695000000997,18.459132200005115,y,0.8584372000041185
11,millag_audio,18.981580300009227,19.772474500001408,y,0.7908941999921808
12,topaas_audio,20.282238500003587,21.069303000011132,y,0.7870645000075456
13,jaat_audio,21.57836730001145,22.645700300010503,y,1.0673329999990528
14,beitels_audio,23.16106650000438,24.228933100006543,y,1.0678666000021622
15,rogenten_audio,24.742319299999508,25.74193390000437,y,0.9996146000048611
16,bij_audio,26.25842390001344,27.102108200007933,y,0.8436842999944929
17,schuiten_audio,27.62271250000049,29.179653099999996,y,1.556940599999507
18,snert_audio,29.68689580001228,30.723791600001277,y,1.0368957999889972
19,mijk_audio,31.235942500003148,32.31633040000452,m,1.0803879000013694
20,trorg_audio,32.855292000007466,33.73998170001141,y,0.8846897000039462
21,sluinen_audio,34.24818810001307,35.3715768000111,y,1.1233886999980314
22,recht_audio,35.87902080001368,36.81393790000584,m,0.9349170999921625
23,herken_audio,37.35852610001166,38.33203620000859,y,0.9735100999969291
24,knaarde_audio,38.84313000000839,39.788881200001924,y,0.9457511999935377
25,liek_audio,40.30732840001292,41.18120330000238,y,0.8738748999894597
26,murselein_audio,41.68945320000057,42.8211033000116,y,1.1316501000110293
27,darboen_audio,43.33838190000097,44.46096810000017,y,1.1225861999992048
28,vraag_audio,44.970117100005154,45.99898080001003,m,1.0288637000048766
29,wist_audio,46.51764130000083,47.67054610000923,m,1.1529048000084003
30,moeder_audio,48.18111820000922,48.97603610000806,m,0.7949178999988362
31,rastel_audio,49.497334900006535,50.74880350001331,y,1.251468600006774
32,smaan_audio,51.26217600000382,52.19773900001019,y,0.9355630000063684
33,bluurde_audio,52.70947070000693,53.45606330000737,y,0.7465926000004401
34,lome_audio,53.97422990000632,54.7524090000079,y,0.7781791000015801
35,kumus_audio,55.27443750000384,56.08118920000561,y,0.8067517000017688
36,krijg_audio,56.59206680000352,57.306799500001944,y,0.7147326999984216
37,zuun_audio,57.819921400005114,59.03610580001259,m,1.216184400007478
38,strotten_audio,59.55206430000544,60.57852800001274,y,1.026463700007298
39,pals_audio,61.099642300003325,61.86918420001166,y,0.7695419000083348
40,werd_audio,62.38568680000026,63.228518100004294,y,0.8428313000040362
41,prookt_audio,63.746835400001146,64.7882699000038,y,1.0414345000026515
42,gonsde_audio,65.29533750000701,66.26854870001262,y,0.9732112000056077
43,nef_audio,66.77623520001362,67.72737030001008,m,0.9511350999964634
44,begin_audio,68.24221750001016,69.60447660001228,y,1.3622591000021202
45,plan_audio,70.12167820001196,71.0528742000024,m,0.9311959999904502
46,imams_audio,71.57193140000163,72.37396620000072,m,0.8020347999990918
47,udel_audio,72.88783280001371,73.6241713000054,m,0.7363384999916889
48,slont_audio,74.13839020000887,75.17364459999953,y,1.035254399990663
49,wrongel_audio,75.68253100001311,76.56673850001243,y,0.8842074999993201
50,puien_audio,77.0817226000072,78.14465140001266,m,1.0629288000054657
51,kandola_audio,78.66309910001291,79.69485830000485,y,1.0317591999919387
52,porde_audio,80.21146500000032,81.17576090000512,y,0.9642959000047995
53,brad_audio,81.69312780001201,82.56015950000437,y,0.8670316999923671
54,goont_audio,83.10229110000364,83.90511140000308,y,0.8028202999994392
55,glaf_audio,84.42287780001061,85.42569519999961,y,1.0028173999889987
56,ambten_audio,85.93894210000872,86.91426640001009,y,0.9753243000013754
57,uur_audio,87.43654790001165,88.19568420000724,y,0.7591362999955891
58,lekker_audio,88.71891230001347,89.49481860001106,m,0.7759062999975868
59,gesmalpt_audio,90.01814569999988,90.98312410000653,m,0.9649784000066575
60,gedaan_audio,91.49945110001136,92.4638011000061,m,0.964349999994738
61,jugen_audio,92.98344400001224,93.96606760000577,y,0.9826235999935307
62,pruit_audio,94.47852880001301,95.66148770001018,y,1.1829588999971747
63,breent_audio,96.17819060001057,97.2693156000023,y,1.0911249999917345
64,gardien_audio,97.7901947000064,98.73690139999962,m,0.9467066999932285
65,karpers_audio,99.25738629999978,100.29126980000001,m,1.033883500000229
66,baby_audio,100.82948140001099,101.56919639999978,m,0.7397149999887915
67,fradingo_audio,102.08639210001274,103.03280890001042,y,0.946416799997678
68,grede_audio,103.55061220000789,104.67143230000511,y,1.1208200999972178
69,spurt_audio,105.18221420000191,106.08811250000144,y,0.9058982999995351
70,auto_audio,106.59767800000554,107.36395120000816,m,0.7662732000026153
71,flans_audio,107.87942740001017,108.83591610001167,m,0.9564887000015005
72,vroeg_audio,109.34567670000251,110.2364121000137,m,0.8907354000111809
73,zag_audio,110.75982590000785,111.53335520000837,m,0.7735293000005186
74,zeg_audio,112.04156440000224,112.79855650001264,m,0.7569921000103932
75,etui_audio,113.30684100001235,114.14343180001015,m,0.8365907999977935
76,kwarp_audio,114.65397920001124,115.4226253000088,y,0.7686460999975679
77,kadders_audio,115.93830770000932,116.77562100000796,y,0.837313299998641
